id,type,attributes.contract,attributes.underlying_symbol,attributes.exp_date,attributes.expiration_type,attributes.type,attributes.strike,attributes.exchange,attributes.currency,attributes.open,attributes.high,attributes.low,attributes.last,attributes.last_size,attributes.change,attributes.pctchange,attributes.previous,attributes.previous_date,attributes.bid,attributes.bid_date,attributes.bid_size,attributes.ask,attributes.ask_date,attributes.ask_size,attributes.moneyness,attributes.volume,attributes.volume_change,attributes.volume_pctchange,attributes.open_interest,attributes.open_interest_change,attributes.open_interest_pctchange,attributes.volatility,attributes.volatility_change,attributes.volatility_pctchange,attributes.theoretical,attributes.delta,attributes.gamma,attributes.theta,attributes.vega,attributes.rho,attributes.tradetime,attributes.vol_oi_ratio,attributes.dte,attributes.midpoint,trade_dt,expiry_dt,dte_calc
QQQ250509C00474000-2025-04-15,options-eod,QQQ250509C00474000,QQQ,2025-05-09,weekly,call,474.0,NASDAQ,USD,7.7,7.7,6.46,6.46,1,-1.83,-22.07,8.29,2025-04-14,6.56,2025-04-15 20:14:59,58,6.67,2025-04-15 20:14:59,41,-0.030000000000000027,113,72,175.61,252,25,11.01,0.2665,-0.0153,-5.45,6.61,0.332448,0.011606,-0.251542,0.426445,0.09577,2025-04-15,0.45,24,6.62,2025-04-15,2025-05-09,24
QQQ250509C00485000-2025-04-15,options-eod,QQQ250509C00485000,QQQ,2025-05-09,weekly,call,485.0,NASDAQ,USD,3.88,4.05,2.85,3.09,1,-0.54,-14.88,3.63,2025-04-14,3.05,2025-04-15 20:15:00,30,3.12,2025-04-15 20:15:00,74,-0.06000000000000005,131,-9933,-98.7,10452,9974,2086.61,0.2441,-0.0137,-5.3,3.09,0.199033,0.009734,-0.175695,0.327776,0.05791,2025-04-15,0.01,24,3.09,2025-04-15,2025-05-09,24
QQQ250509C00486000-2025-04-15,options-eod,QQQ250509C00486000,QQQ,2025-05-09,weekly,call,486.0,NASDAQ,USD,3.41,3.7,3.41,3.7,1,0.01,0.27,3.69,2025-04-14,2.81,2025-04-15 20:14:59,23,2.88,2025-04-15 20:14:59,47,-0.06000000000000005,2,-12,-85.71,95,6,6.74,0.242,-0.0151,-5.87,2.85,0.187739,0.009476,-0.167952,0.316301,0.05467,2025-04-15,0.02,24,2.84,2025-04-15,2025-05-09,24
QQQ250509C00487000-2025-04-15,options-eod,QQQ250509C00487000,QQQ,2025-05-09,weekly,call,487.0,NASDAQ,USD,2.96,2.96,2.4,2.63,1,-0.7,-21.02,3.33,2025-04-14,2.59,2025-04-15 20:14:57,90,2.67,2025-04-15 20:14:57,74,-0.06000000000000005,64,-4,-5.88,343,-15,-4.19,0.2404,-0.0149,-5.82,2.63,0.177278,0.009203,-0.160878,0.305176,0.051661,2025-04-15,0.19,24,2.63,2025-04-15,2025-05-09,24
QQQ250509C00525000-2025-04-15,options-eod,QQQ250509C00525000,QQQ,2025-05-09,weekly,call,525.0,NASDAQ,USD,0.18,0.18,0.18,0.18,1,-0.01,-5.26,0.19,2025-04-14,0.13,2025-04-15 20:14:59,69,0.18,2025-04-15 20:14:59,164,-0.15000000000000002,1,-224,-99.56,506,64,14.48,0.2448,0.0015,0.62,0.18,0.017659,0.001514,-0.026896,0.051155,0.0052,2025-04-15,0.0,24,0.16,2025-04-15,2025-05-09,24
QQQ250509C00520000-2025-04-15,options-eod,QQQ250509C00520000,QQQ,2025-05-09,weekly,call,520.0,NASDAQ,USD,0.27,0.27,0.2,0.21,1,-0.06,-22.22,0.27,2025-04-14,0.18,2025-04-15 20:14:59,97,0.23,2025-04-15 20:14:59,222,-0.14,174,-58,-25.0,764,39,5.38,0.2353,-0.006,-2.5,0.21,0.020977,0.001823,-0.029982,0.059216,0.00618,2025-04-15,0.23,24,0.21,2025-04-15,2025-05-09,24
QQQ250509C00515000-2025-04-15,options-eod,QQQ250509C00515000,QQQ,2025-05-09,weekly,call,515.0,NASDAQ,USD,0.25,0.29,0.24,0.29,1,-0.1,-25.64,0.39,2025-04-14,0.26,2025-04-15 20:14:54,35,0.3,2025-04-15 20:14:54,123,-0.12,5,-30,-85.71,192,1,0.52,0.2314,-0.0088,-3.66,0.29,0.028324,0.002385,-0.038026,0.076189,0.00834,2025-04-15,0.03,24,0.28,2025-04-15,2025-05-09,24
QQQ250509C00510000-2025-04-15,options-eod,QQQ250509C00510000,QQQ,2025-05-09,weekly,call,510.0,NASDAQ,USD,0.52,0.52,0.36,0.36,1,-0.23,-38.98,0.59,2025-04-14,0.38,2025-04-15 20:14:55,35,0.42,2025-04-15 20:14:55,118,-0.10999999999999999,98,-94,-48.96,2573,17,0.67,0.2275,-0.0084,-3.58,0.4,0.038121,0.0031,-0.047861,0.097322,0.011218,2025-04-15,0.04,24,0.4,2025-04-15,2025-05-09,24
QQQ250509C00505000-2025-04-15,options-eod,QQQ250509C00505000,QQQ,2025-05-09,weekly,call,505.0,NASDAQ,USD,0.79,0.82,0.52,0.54,1,-0.28,-34.15,0.82,2025-04-14,0.57,2025-04-15 20:14:56,50,0.61,2025-04-15 20:14:56,103,-0.09999999999999998,27,-8,-22.86,939,12,1.29,0.2265,-0.0099,-4.17,0.59,0.053598,0.004095,-0.062856,0.128004,0.015755,2025-04-15,0.03,24,0.59,2025-04-15,2025-05-09,24
QQQ250509C00502500-2025-04-15,options-eod,QQQ250509C00502500,QQQ,2025-05-09,weekly,call,502.5,NASDAQ,USD,0.95,0.98,0.7,0.7,1,-0.39,-35.78,1.09,2025-04-14,0.7,2025-04-15 20:15:00,44,0.75,2025-04-15 20:15:00,123,-0.09999999999999998,8,-94,-92.16,293,54,22.59,0.2252,-0.0123,-5.19,0.7,0.062388,0.004642,-0.070508,0.144232,0.01833,2025-04-15,0.03,24,0.73,2025-04-15,2025-05-09,24
QQQ250509C00500000-2025-04-15,options-eod,QQQ250509C00500000,QQQ,2025-05-09,weekly,call,500.0,NASDAQ,USD,1.16,1.28,0.83,0.91,1,-0.22,-19.47,1.13,2025-04-14,0.86,2025-04-15 20:14:59,91,0.91,2025-04-15 20:14:59,35,-0.08999999999999997,133,-249,-65.18,2368,-84,-3.43,0.2287,-0.0096,-4.03,0.91,0.077004,0.005376,-0.084318,0.169611,0.022593,2025-04-15,0.06,24,0.89,2025-04-15,2025-05-09,24
QQQ250509C00498000-2025-04-15,options-eod,QQQ250509C00498000,QQQ,2025-05-09,weekly,call,498.0,NASDAQ,USD,1.44,1.44,1.18,1.18,1,-0.18,-13.24,1.36,2025-04-14,1.03,2025-04-15 20:14:56,50,1.08,2025-04-15 20:14:56,92,-0.08999999999999997,3,-15,-83.33,296,9,3.14,0.2286,-0.0127,-5.26,1.06,0.087267,0.00591,-0.092733,0.186375,0.025589,2025-04-15,0.01,24,1.06,2025-04-15,2025-05-09,24
QQQ250509C00497500-2025-04-15,options-eod,QQQ250509C00497500,QQQ,2025-05-09,weekly,call,497.5,NASDAQ,USD,1.36,1.36,1.36,1.36,1,-0.23,-14.47,1.59,2025-04-14,1.07,2025-04-15 20:14:58,61,1.12,2025-04-15 20:14:58,32,-0.08999999999999997,1,-16,-94.12,225,6,2.74,0.2286,-0.0129,-5.33,1.1,0.090034,0.006048,-0.094951,0.190757,0.026396,2025-04-15,0.0,24,1.1,2025-04-15,2025-05-09,24
QQQ250509C00497000-2025-04-15,options-eod,QQQ250509C00497000,QQQ,2025-05-09,weekly,call,497.0,NASDAQ,USD,1.46,1.61,1.29,1.29,1,-0.32,-19.88,1.61,2025-04-14,1.12,2025-04-15 20:15:00,26,1.17,2025-04-15 20:15:00,57,-0.08999999999999997,4,-1,-20.0,352,-1,-0.28,0.2291,-0.0127,-5.26,1.15,0.093314,0.006198,-0.097728,0.195881,0.027351,2025-04-15,0.01,24,1.15,2025-04-15,2025-05-09,24
QQQ250509C00496000-2025-04-15,options-eod,QQQ250509C00496000,QQQ,2025-05-09,weekly,call,496.0,NASDAQ,USD,1.27,1.27,1.27,1.27,1,1.27,0.0,0.0,,1.22,2025-04-15 20:15:00,24,1.27,2025-04-15 20:15:00,32,-0.07999999999999996,1,1,0.0,162,0,0.0,0.231,0.0,0.0,1.27,0.101077,0.00652,-0.104533,0.20771,0.029606,2025-04-15,0.01,24,1.25,2025-04-15,2025-05-09,24
QQQ250509C00495000-2025-04-15,options-eod,QQQ250509C00495000,QQQ,2025-05-09,weekly,call,495.0,NASDAQ,USD,1.75,1.92,1.21,1.36,2,-0.66,-32.67,2.02,2025-04-14,1.33,2025-04-15 20:14:59,16,1.39,2025-04-15 20:14:59,108,-0.07999999999999996,134,-271,-66.91,578,-20,-3.34,0.2308,-0.0131,-5.38,1.36,0.107063,0.006802,-0.108986,0.216557,0.03135,2025-04-15,0.23,24,1.36,2025-04-15,2025-05-09,24
QQQ250509C00494000-2025-04-15,options-eod,QQQ250509C00494000,QQQ,2025-05-09,weekly,call,494.0,NASDAQ,USD,1.96,2.1,1.44,1.45,2,-0.67,-31.6,2.12,2025-04-14,1.44,2025-04-15 20:14:58,118,1.51,2025-04-15 20:14:58,107,-0.07999999999999996,37,29,362.5,143,-1,-0.69,0.2304,-0.0148,-6.05,1.45,0.113063,0.007086,-0.113217,0.225196,0.033098,2025-04-15,0.26,24,1.48,2025-04-15,2025-05-09,24
