id,type,attributes.contract,attributes.underlying_symbol,attributes.exp_date,attributes.expiration_type,attributes.type,attributes.strike,attributes.exchange,attributes.currency,attributes.open,attributes.high,attributes.low,attributes.last,attributes.last_size,attributes.change,attributes.pctchange,attributes.previous,attributes.previous_date,attributes.bid,attributes.bid_date,attributes.bid_size,attributes.ask,attributes.ask_date,attributes.ask_size,attributes.moneyness,attributes.volume,attributes.volume_change,attributes.volume_pctchange,attributes.open_interest,attributes.open_interest_change,attributes.open_interest_pctchange,attributes.volatility,attributes.volatility_change,attributes.volatility_pctchange,attributes.theoretical,attributes.delta,attributes.gamma,attributes.theta,attributes.vega,attributes.rho,attributes.tradetime,attributes.vol_oi_ratio,attributes.dte,attributes.midpoint,exp_date,trade_dt,dte
QQQ231002C00380000,options-contracts,QQQ231002C00380000,QQQ,2023-10-02,weekly,call,380.0,NASDAQ,USD,0.01,0.01,0.01,0.01,3.0,,,,,,2023-10-02 15:14:58,,0.01,2023-10-02 15:14:58,5370.0,,29.0,,,246.0,,,0.3712,,,0.01,0.004596,0.001923,-0.047655,0.002519,4.5e-05,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00378000,options-contracts,QQQ231002C00378000,QQQ,2023-10-02,weekly,call,378.0,NASDAQ,USD,0.01,0.01,0.01,0.01,1.0,,,,,,2023-10-02 15:14:58,,0.01,2023-10-02 15:14:58,4495.0,,3.0,,,419.0,,,0.3364,,,0.01,0.005026,0.002298,-0.046805,0.002728,4.9e-05,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00377000,options-contracts,QQQ231002C00377000,QQQ,2023-10-02,weekly,call,377.0,NASDAQ,USD,0.01,0.01,0.01,0.01,1.0,,,,,,2023-10-02 15:14:58,,0.01,2023-10-02 15:14:58,3970.0,,1.0,,,701.0,,,0.3188,,,0.01,0.005277,0.002532,-0.046346,0.002849,5.1e-05,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00376000,options-contracts,QQQ231002C00376000,QQQ,2023-10-02,weekly,call,376.0,NASDAQ,USD,0.01,0.01,0.01,0.01,1.0,,,,,,2023-10-02 15:14:58,,0.01,2023-10-02 15:14:58,3444.0,,4.0,,,1251.0,,,0.3011,,,0.01,0.005559,0.002808,-0.045857,0.002984,5.4e-05,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00375000,options-contracts,QQQ231002C00375000,QQQ,2023-10-02,weekly,call,375.0,NASDAQ,USD,0.01,0.01,0.01,0.01,1.0,,,,,,2023-10-02 15:14:58,,0.01,2023-10-02 15:14:58,2920.0,,45.0,,,4287.0,,,0.2832,,,0.01,0.005878,0.003137,-0.045335,0.003135,5.7e-05,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00374000,options-contracts,QQQ231002C00374000,QQQ,2023-10-02,weekly,call,374.0,NASDAQ,USD,0.01,0.01,0.01,0.01,1.0,,,,,,2023-10-02 15:14:58,,0.01,2023-10-02 15:14:58,2395.0,,175.0,,,1230.0,,,0.2651,,,0.01,0.00624,0.003533,-0.044778,0.003306,6.1e-05,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00373000,options-contracts,QQQ231002C00373000,QQQ,2023-10-02,weekly,call,373.0,NASDAQ,USD,0.01,0.01,0.01,0.01,2.0,,,,,,2023-10-02 15:14:58,,0.01,2023-10-02 15:14:58,2570.0,,128.0,,,963.0,,,0.2469,,,0.01,0.006657,0.004018,-0.044177,0.0035,6.5e-05,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00372000,options-contracts,QQQ231002C00372000,QQQ,2023-10-02,weekly,call,372.0,NASDAQ,USD,0.01,0.01,0.01,0.01,1.0,,,,,,2023-10-02 15:14:58,,0.01,2023-10-02 15:14:58,2109.0,,323.0,,,1229.0,,,0.2285,,,0.01,0.007143,0.004621,-0.043526,0.003725,6.9e-05,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00371000,options-contracts,QQQ231002C00371000,QQQ,2023-10-02,weekly,call,371.0,NASDAQ,USD,0.01,0.01,0.01,0.01,2.0,,,,,,2023-10-02 15:14:58,,0.01,2023-10-02 15:14:58,2219.0,,502.0,,,1192.0,,,0.2098,,,0.01,0.007716,0.005386,-0.042818,0.003987,7.5e-05,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00370000,options-contracts,QQQ231002C00370000,QQQ,2023-10-02,weekly,call,370.0,NASDAQ,USD,0.01,0.01,0.01,0.01,5.0,,,,,,2023-10-02 15:14:58,,0.01,2023-10-02 15:14:58,1748.0,,1063.0,,,7125.0,,,0.1909,,,0.01,0.008404,0.006381,-0.042039,0.004298,8.2e-05,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00369000,options-contracts,QQQ231002C00369000,QQQ,2023-10-02,weekly,call,369.0,NASDAQ,USD,0.01,0.02,0.01,0.01,2.0,,,,,,2023-10-02 15:14:56,,0.01,2023-10-02 15:14:56,3823.0,,4517.0,,,2177.0,,,0.1717,,,0.01,0.009247,0.007714,-0.041174,0.004673,9e-05,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00368000,options-contracts,QQQ231002C00368000,QQQ,2023-10-02,weekly,call,368.0,NASDAQ,USD,0.02,0.03,0.01,0.01,1.0,,,,,,2023-10-02 15:14:56,,0.01,2023-10-02 15:14:56,3485.0,,7680.0,,,2779.0,,,0.1523,,,0.01,0.010308,0.009566,-0.040199,0.005138,0.0001,2023-10-02,,,,2023-10-02,2025-04-16,-562
