Date,Close/Last,ohlcv_volume,Open,High,Low,strike,open,high,low,last,last_size,change,pctchange,previous,previous_date,bid,bid_size,ask,ask_size,moneyness,option_volume,volume_change,volume_pctchange,open_interest,open_interest_change,open_interest_pctchange,volatility,volatility_change,volatility_pctchange,theoretical,delta,gamma,theta,vega,rho,vol_oi_ratio,midpoint,put,daily_return,sma_5,sma_10,ema_12,ema_26,macd,macd_signal,rsi_14,atr_14,intraday_range_pct,options_to_ohlcv_volume_ratio
2025-04-11,454.4,52483780,444.65,455.79,441.33,522,0.05,0.07,0.05,0.06,2,-0.03,-33.33,0.09,2025-04-10,0.05,2,0.06,242,-0.15,31,13,72.22,2050,4,0.2,0.4779,0.005,1.07,0.06,0.007309,0.000796,-0.051809,0.01077,0.000447,0.02,0.06,0,0.018423057958671274,441.26599999999996,449.74300000000005,453.55541794450346,463.2714750673408,-9.716057122837356,-7.7970204197789705,39.62102129608424,21.250592857142856,0.03251995951872268,5.906586758804339e-07
2025-04-11,454.4,52483780,444.65,455.79,441.33,496,0.29,0.36,0.22,0.23,4,-0.07,-23.33,0.3,2025-04-10,0.22,124,0.26,185,-0.0899999999999999,576,271,88.85,11420,148,1.31,0.3886,-0.0043,-1.08,0.23,0.029267,0.003223,-0.139139,0.035457,0.00179,0.05,0.24,0,0.018423057958671274,441.26599999999996,449.74300000000005,453.55541794450346,463.2714750673408,-9.716057122837356,-7.7970204197789705,39.62102129608424,21.250592857142856,0.03251995951872268,1.0974819267971933e-05
2025-04-11,454.4,52483780,444.65,455.79,441.33,497,0.26,0.36,0.22,0.22,1,-0.04,-15.38,0.26,2025-04-10,0.21,87,0.24,259,-0.0899999999999999,299,-201,-40.2,1762,-201,-10.24,0.3932,-0.0059,-1.49,0.22,0.027862,0.003058,-0.135085,0.034036,0.001704,0.17,0.22,0,0.018423057958671274,441.26599999999996,449.74300000000005,453.55541794450346,463.2714750673408,-9.716057122837356,-7.7970204197789705,39.62102129608424,21.250592857142856,0.03251995951872268,5.696998196395153e-06
2025-04-11,454.4,52483780,444.65,455.79,441.33,489,0.43,0.66,0.39,0.49,1,-0.02,-3.92,0.51,2025-04-10,0.47,51,0.5,96,-0.0799999999999999,361,-766,-67.97,6028,60,1.01,0.3877,-0.007,-1.78,0.49,0.056657,0.005522,-0.237384,0.06057,0.00346,0.06,0.49,0,0.018423057958671274,441.26599999999996,449.74300000000005,453.55541794450346,463.2714750673408,-9.716057122837356,-7.7970204197789705,39.62102129608424,21.250592857142856,0.03251995951872268,6.878315548156021e-06
2025-04-11,454.4,52483780,444.65,455.79,441.33,480,0.96,1.65,0.85,1.28,5,0.08,6.67,1.2,2025-04-10,1.27,3,1.29,60,-0.06,11910,-20997,-63.81,26068,-4341,-14.28,0.3954,-0.009,-2.23,1.28,0.125012,0.009789,-0.438575,0.109488,0.007606,0.46,1.28,0,0.018423057958671274,441.26599999999996,449.74300000000005,453.55541794450346,463.2714750673408,-9.716057122837356,-7.7970204197789705,39.62102129608424,21.250592857142856,0.03251995951872268,0.000226927252572128
2025-04-11,454.4,52483780,444.65,455.79,441.33,478,1.21,1.98,1.06,1.51,1,0.01,0.67,1.5,2025-04-10,1.54,35,1.6,120,-0.05,1939,526,37.23,2850,121,4.43,0.3987,-0.0082,-2.01,1.57,0.146665,0.01083,-0.493674,0.12215,0.008915,0.68,1.57,0,0.018423057958671274,441.26599999999996,449.74300000000005,453.55541794450346,463.2714750673408,-9.716057122837356,-7.7970204197789705,39.62102129608424,21.250592857142856,0.03251995951872268,3.6944747501037465e-05
2025-04-11,454.4,52483780,444.65,455.79,441.33,471,2.46,3.75,2.04,3.15,3,0.47,17.54,2.68,2025-04-10,3.11,30,3.18,51,-0.04,2692,-6590,-71.0,4564,2360,107.08,0.4205,-0.011,-2.55,3.15,0.24378,0.01402,-0.712074,0.166731,0.014743,0.59,3.15,0,0.018423057958671274,441.26599999999996,449.74300000000005,453.55541794450346,463.2714750673408,-9.716057122837356,-7.7970204197789705,39.62102129608424,21.250592857142856,0.03251995951872268,5.1292037273229936e-05
2025-04-11,454.4,52483780,444.65,455.79,441.33,472,2.3,3.42,1.87,2.89,1,0.27,10.31,2.62,2025-04-10,2.82,35,2.9,67,-0.04,3643,-2954,-44.78,8506,728,9.36,0.4182,-0.0092,-2.16,2.89,0.229132,0.013625,-0.684126,0.16114,0.013867,0.43,2.86,0,0.018423057958671274,441.26599999999996,449.74300000000005,453.55541794450346,463.2714750673408,-9.716057122837356,-7.7970204197789705,39.62102129608424,21.250592857142856,0.03251995951872268,6.941192116878776e-05
2025-04-11,454.4,52483780,444.65,455.79,441.33,485,0.64,1.01,0.55,0.73,4,0.0,0.0,0.73,2025-04-10,0.72,89,0.76,86,-0.0699999999999999,4052,-4732,-53.87,15449,-1530,-9.01,0.3866,-0.009,-2.29,0.73,0.079767,0.007214,-0.308603,0.078896,0.004865,0.26,0.74,0,0.018423057958671274,441.26599999999996,449.74300000000005,453.55541794450346,463.2714750673408,-9.716057122837356,-7.7970204197789705,39.62102129608424,21.250592857142856,0.03251995951872268,7.720480498927478e-05
2025-04-11,454.4,52483780,444.65,455.79,441.33,484,0.82,1.09,0.59,0.81,1,0.16,24.62,0.65,2025-04-10,0.79,64,0.85,162,-0.0699999999999999,849,-139,-14.07,1443,491,51.58,0.387,-0.0075,-1.91,0.81,0.086993,0.007692,-0.329823,0.08421,0.005304,0.59,0.82,0,0.018423057958671274,441.26599999999996,449.74300000000005,453.55541794450346,463.2714750673408,-9.716057122837356,-7.7970204197789705,39.62102129608424,21.250592857142856,0.03251995951872268,1.6176426316854464e-05
2025-04-11,454.4,52483780,444.65,455.79,441.33,483,0.73,1.22,0.66,0.92,600,0.05,5.75,0.87,2025-04-10,0.89,71,0.94,91,-0.06,1302,493,60.94,1977,334,20.33,0.3899,-0.0064,-1.61,0.92,0.096188,0.008224,-0.358096,0.090719,0.005861,0.66,0.92,0,0.018423057958671274,441.26599999999996,449.74300000000005,453.55541794450346,463.2714750673408,-9.716057122837356,-7.7970204197789705,39.62102129608424,21.250592857142856,0.03251995951872268,2.4807664386978225e-05
2025-04-11,454.4,52483780,444.65,455.79,441.33,545,0.02,0.03,0.02,0.03,1,-0.01,-25.0,0.04,2025-04-10,0.01,50,0.04,318,-0.1999999999999999,31,11,55.0,6059,-6,-0.1,0.564,0.0291,5.44,0.03,0.003338,0.000335,-0.030378,0.005359,0.000204,0.01,0.03,0,0.018423057958671274,441.26599999999996,449.74300000000005,453.55541794450346,463.2714750673408,-9.716057122837356,-7.7970204197789705,39.62102129608424,21.250592857142856,0.03251995951872268,5.906586758804339e-07
2025-04-11,454.4,52483780,444.65,455.79,441.33,404,50.82,50.82,50.82,50.82,50,10.32,25.48,40.5,2025-04-10,50.89,1,53.45,10,0.11,50,0,0.0,50,50,0.0,0.7517,-0.0353,-4.48,52.17,0.917064,0.003817,-0.646789,0.081189,0.049938,1.0,52.17,0,0.018423057958671274,441.26599999999996,449.74300000000005,453.55541794450346,463.2714750673408,-9.716057122837356,-7.7970204197789705,39.62102129608424,21.250592857142856,0.03251995951872268,9.526752836781192e-07
2025-04-11,454.4,52483780,444.65,455.79,441.33,420,32.38,37.93,29.68,37.0,1,3.59,10.75,33.41,2025-04-10,35.94,1,37.33,1,0.08,26,-270,-91.22,2040,-148,-6.76,0.6357,-0.0752,-10.57,37.0,0.864746,0.006427,-0.770548,0.115572,0.048759,0.01,36.64,0,0.018423057958671274,441.26599999999996,449.74300000000005,453.55541794450346,463.2714750673408,-9.716057122837356,-7.7970204197789705,39.62102129608424,21.250592857142856,0.03251995951872268,4.95391147512622e-07
2025-04-11,454.4,52483780,444.65,455.79,441.33,419,34.61,38.5,34.61,38.5,1,4.82,14.31,33.68,2025-04-10,36.87,1,39.88,19,0.08,23,0,0.0,429,6,1.42,0.6912,0.0037,0.53,38.5,0.852963,0.006256,-0.880464,0.122312,0.04782,0.05,38.38,0,0.018423057958671274,441.26599999999996,449.74300000000005,453.55541794450346,463.2714750673408,-9.716057122837356,-7.7970204197789705,39.62102129608424,21.250592857142856,0.03251995951872268,4.3823063049193485e-07
2025-04-11,454.4,52483780,444.65,455.79,441.33,424,28.01,33.06,28.01,33.06,1,6.93,26.52,26.13,2025-04-10,31.61,10,35.19,10,0.07,44,-73,-62.39,1198,6,0.5,0.5876,-0.0736,-11.13,33.06,0.852798,0.007365,-0.754974,0.122404,0.048555,0.04,33.4,0,0.018423057958671274,441.26599999999996,449.74300000000005,453.55541794450346,463.2714750673408,-9.716057122837356,-7.7970204197789705,39.62102129608424,21.250592857142856,0.03251995951872268,8.383542496367449e-07
2025-04-11,454.4,52483780,444.65,455.79,441.33,425,27.34,33.43,24.93,32.31,2,3.45,11.95,28.86,2025-04-10,31.89,1,33.08,1,0.06,94,-112,-54.37,9324,3,0.03,0.594,-0.0657,-9.96,32.31,0.842328,0.007626,-0.796367,0.128119,0.048006,0.01,32.49,0,0.018423057958671274,441.26599999999996,449.74300000000005,453.55541794450346,463.2714750673408,-9.716057122837356,-7.7970204197789705,39.62102129608424,21.250592857142856,0.03251995951872268,1.7910295333148641e-06
2025-04-11,454.4,52483780,444.65,455.79,441.33,417,35.0,40.64,30.79,40.15,3,10.26,34.33,29.89,2025-04-10,37.8,19,41.32,11,0.08,74,70,1750.0,917,-3,-0.33,0.6885,-0.0072,-1.04,40.15,0.867008,0.005866,-0.822067,0.11424,0.048468,0.08,39.56,0,0.018423057958671274,441.26599999999996,449.74300000000005,453.55541794450346,463.2714750673408,-9.716057122837356,-7.7970204197789705,39.62102129608424,21.250592857142856,0.03251995951872268,1.4099594198436164e-06
2025-04-11,454.4,52483780,444.65,455.79,441.33,426,28.18,31.68,26.17,31.02,1,4.42,16.62,26.6,2025-04-10,31.02,1,32.21,1,0.06,17,-41,-70.69,516,9,1.78,0.5575,-0.0261,-4.47,31.02,0.848346,0.007918,-0.731902,0.124864,0.048557,0.03,31.62,0,0.018423057958671274,441.26599999999996,449.74300000000005,453.55541794450346,463.2714750673408,-9.716057122837356,-7.7970204197789705,39.62102129608424,21.250592857142856,0.03251995951872268,3.2390959645056055e-07
2025-04-11,454.4,52483780,444.65,455.79,441.33,410,39.4,47.5,39.3,46.25,1,5.25,12.8,41.0,2025-04-10,44.28,19,47.99,11,0.1,232,190,452.38,2841,-4,-0.14,0.6886,-0.0248,-3.47,46.25,0.906925,0.004542,-0.646033,0.088488,0.050117,0.08,46.14,0,0.018423057958671274,441.26599999999996,449.74300000000005,453.55541794450346,463.2714750673408,-9.716057122837356,-7.7970204197789705,39.62102129608424,21.250592857142856,0.03251995951872268,4.420413316266473e-06
2025-04-11,454.4,52483780,444.65,455.79,441.33,427,25.47,30.93,23.91,30.93,1,5.93,23.72,25.0,2025-04-10,30.15,1,31.34,1,0.06,29,20,222.22,390,-1,-0.26,0.6122,-0.0353,-5.46,30.93,0.818822,0.008091,-0.891931,0.140082,0.046732,0.07,30.74,0,0.018423057958671274,441.26599999999996,449.74300000000005,453.55541794450346,463.2714750673408,-9.716057122837356,-7.7970204197789705,39.62102129608424,21.250592857142856,0.03251995951872268,5.525516645333091e-07
2025-04-11,454.4,52483780,444.65,455.79,441.33,405,50.25,51.7,50.25,51.7,19,11.7,29.25,40.0,2025-04-10,49.05,10,52.76,11,0.11,22,-232,-91.34,310,-58,-15.76,0.8001,0.02,2.56,51.7,0.899906,0.004124,-0.782573,0.093347,0.048934,0.07,50.91,0,0.018423057958671274,441.26599999999996,449.74300000000005,453.55541794450346,463.2714750673408,-9.716057122837356,-7.7970204197789705,39.62102129608424,21.250592857142856,0.03251995951872268,4.1917712481837244e-07
2025-04-11,454.4,52483780,444.65,455.79,441.33,415,36.18,42.86,33.16,41.0,1,5.72,16.21,35.28,2025-04-10,39.63,19,43.16,11,0.09,52,41,372.73,509,-6,-1.17,0.6,-0.0056,-0.93,41.0,0.908838,0.005134,-0.560217,0.087137,0.050956,0.1,41.39,0,0.018423057958671274,441.26599999999996,449.74300000000005,453.55541794450346,463.2714750673408,-9.716057122837356,-7.7970204197789705,39.62102129608424,21.250592857142856,0.03251995951872268,9.90782295025244e-07
2025-04-11,454.4,52483780,444.65,455.79,441.33,499,0.23,0.27,0.17,0.17,1,-0.02,-10.53,0.19,2025-04-10,0.17,128,0.2,173,-0.0999999999999999,92,-665,-87.85,2194,601,37.73,0.3915,-0.0001,-0.03,0.17,0.02226,0.002544,-0.111402,0.028197,0.001362,0.04,0.19,0,0.018423057958671274,441.26599999999996,449.74300000000005,453.55541794450346,463.2714750673408,-9.716057122837356,-7.7970204197789705,39.62102129608424,21.250592857142856,0.03251995951872268,1.7529225219677394e-06
2025-04-11,454.4,52483780,444.65,455.79,441.33,525,0.03,0.08,0.03,0.04,1,-0.02,-33.33,0.06,2025-04-10,0.02,101,0.05,170,-0.16,377,174,85.71,14029,-94,-0.67,0.4733,0.0081,1.74,0.04,0.005093,0.000583,-0.037245,0.00782,0.000312,0.03,0.04,0,0.018423057958671274,441.26599999999996,449.74300000000005,453.55541794450346,463.2714750673408,-9.716057122837356,-7.7970204197789705,39.62102129608424,21.250592857142856,0.03251995951872268,7.1831716389330186e-06
2025-04-11,454.4,52483780,444.65,455.79,441.33,481,0.88,1.5,0.8,1.09,5,0.0,0.0,1.09,2025-04-10,1.11,30,1.16,65,-0.06,995,-402,-28.78,2364,720,43.8,0.3921,-0.0104,-2.57,1.14,0.113993,0.009248,-0.407454,0.102588,0.00694,0.42,1.14,0,0.018423057958671274,441.26599999999996,449.74300000000005,453.55541794450346,463.2714750673408,-9.716057122837356,-7.7970204197789705,39.62102129608424,21.250592857142856,0.03251995951872268,1.895823814519457e-05
